fruit_name,year,January,Febuary,March,April,May,June,July,August,September,October,November,December
紅甘蔗,2020,10.58,10.42,10.92,10.67,8.42,8.67,8.33,8.33,8.58,8.5,-1.0,-1.0,93.66
芝麻,2020,220.98,215.22,200.0,200.0,225.0,216.67,200.0,200.0,200.0,200.0,-1.0,-1.0,10.26
文心蘭,2020,9.3,9.16,8.6,6.84,6.7,7.58,10.35,10.35,8.69,4.97,-1.0,-1.0,215.28
菊花,2020,8.51,10.13,5.99,3.16,2.88,5.4,7.25,7.25,7.68,7.59,-1.0,-1.0,6.52
菊,2020,3.62,4.27,3.4,2.33,2.67,4.67,6.67,6.67,7.0,6.05,-1.0,-1.0,7.31
玫瑰,2020,5.43,7.97,4.59,2.75,5.59,4.63,3.66,3.66,5.64,4.04,-1.0,-1.0,5.76
火鶴,2020,12.97,11.83,9.44,7.3,6.99,7.49,10.92,10.92,11.5,10.81,-1.0,-1.0,5.72
非洲菊,2020,2.92,2.45,1.72,2.01,1.8,4.48,4.7,4.7,5.77,6.01,-1.0,-1.0,10.93
滿天星,2020,37.25,30.5,37.67,36.5,42.33,72.17,64.83,64.83,86.33,78.33,-1.0,-1.0,4.45
卡斯比亞,2020,55.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.83
香石竹,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香石竹,2020,4.63,4.17,2.63,2.08,3.86,2.43,5.75,5.75,4.58,4.83,-1.0,-1.0,-1.0
天堂鳥,2020,12.75,10.0,6.5,7.4,6.67,8.67,7.33,7.33,9.0,9.67,-1.0,-1.0,4.67
夜來香,2020,3.25,5.0,4.17,5.33,3.0,3.33,3.17,3.17,6.07,5.17,-1.0,-1.0,12.33
唐菖蒲,2020,3.39,3.34,2.83,3.3,2.27,4.28,3.71,3.71,6.91,3.61,-1.0,-1.0,4.83
葵百合,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.5
姬百合,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香水百合,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香水百合,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香水百合,2020,28.88,23.33,22.33,23.59,17.89,21.75,28.9,28.9,33.12,32.31,-1.0,-1.0,-1.0
大理花,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.56
聖誕紅,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蘿蔔,2019,5.35,6.49,5.9,6.72,8.43,9.7,10.77,10.77,8.4,5.13,7.43,5.94,75.0
胡蘿蔔,2019,8.29,8.38,8.12,9.11,10.58,11.67,13.17,13.17,14.5,16.43,18.5,11.08,10.5
山藥,2019,20.67,20.5,24.0,22.0,23.43,-1.0,-1.0,-1.0,-1.0,46.0,40.0,27.0,30.67
牛蒡,2019,-1.0,-1.0,26.0,28.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
生薑,2019,-1.0,-1.0,58.0,68.0,51.22,45.17,44.83,44.83,41.17,34.5,34.17,-1.0,-1.0
生薑,2019,32.59,29.25,31.06,31.66,37.34,36.67,38.33,38.33,34.0,30.67,36.33,25.67,25.67
芋頭,2019,37.26,42.53,41.67,42.0,39.0,33.67,32.67,32.67,34.13,33.6,46.94,45.72,38.67
綠竹筍,2019,-1.0,-1.0,-1.0,159.0,128.44,89.77,90.03,90.03,82.95,73.95,109.52,-1.0,-1.0
烏殼綠竹筍,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
麻竹筍,2019,53.33,50.0,50.0,35.5,41.17,33.17,31.83,31.83,36.67,27.72,26.11,30.0,30.0
桂竹筍,2019,-1.0,-1.0,-1.0,25.11,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
轎篙筍,2019,-1.0,-1.0,-1.0,-1.0,31.5,38.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
白蘆筍,2019,-1.0,-1.0,-1.0,109.33,96.17,123.17,101.67,101.67,137.17,122.17,96.67,95.67,-1.0
綠蘆筍,2019,233.33,125.5,118.92,124.67,122.53,141.0,172.27,172.27,167.0,157.75,153.92,150.83,193.33
茭白筍,2019,-1.0,53.5,63.33,51.67,66.67,75.67,90.67,90.67,84.33,69.33,46.33,53.0,-1.0
大芥菜,2019,10.15,13.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
馬鈴薯,2019,20.54,20.28,20.67,20.0,21.37,22.17,22.33,22.33,23.0,24.77,25.17,24.83,25.25
加工麻竹筍,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.44,13.44,11.73,11.69,-1.0,-1.0,-1.0
青蔥,2019,19.89,28.39,33.31,28.58,25.86,22.89,28.83,28.83,87.21,174.64,168.03,158.26,107.74
蔥頭,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋蔥,2019,14.02,12.58,12.43,13.12,21.13,22.0,19.83,19.83,18.8,-1.0,-1.0,-1.0,14.0
青蒜,2019,31.58,38.6,56.45,42.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,86.33
蒜頭,2019,-1.0,89.7,73.41,79.2,81.72,76.78,75.29,75.29,84.82,89.96,93.92,90.86,93.0
荸薺,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
韭菜,2019,24.56,24.97,24.67,22.67,20.38,23.49,30.55,30.55,35.5,49.38,38.99,38.63,45.7
韭黃,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蕹菜,2019,33.7,28.3,42.12,25.89,32.64,26.84,29.67,29.67,29.38,32.5,18.27,26.47,38.71
芹菜,2019,33.33,38.5,37.58,29.08,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甘藍,2019,5.64,9.8,10.17,24.04,27.15,27.53,28.45,28.45,26.57,26.76,16.97,10.59,10.5
甘藍芽,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
小白菜,2019,13.92,17.87,26.64,14.43,21.71,28.97,28.96,28.96,29.57,31.92,14.26,17.6,21.78
青江白菜,2019,16.33,19.25,30.67,14.67,21.67,19.67,21.67,21.67,34.0,29.67,10.67,16.67,22.83
結球白菜,2019,9.29,12.79,14.58,11.54,12.92,14.26,15.99,15.99,16.74,20.38,12.42,10.66,14.08
結球白菜,2019,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
菠菜,2019,17.74,15.08,28.06,32.9,-1.0,53.43,73.07,73.07,71.43,129.3,53.45,27.17,25.08
