fruit_name,year,January,Febuary,March,April,May,June,July,August,September,October,November,December
檸檬,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
海梨柑,2016,24.38,23.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茂谷柑,2016,50.57,43.08,48.83,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
白柚,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.33,28.42,29.44,36.67
金柑,2016,43.28,68.5,75.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.75,40.33
李,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
李,2016,-1.0,-1.0,-1.0,-1.0,-1.0,47.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鶯歌桃,2016,-1.0,-1.0,-1.0,-1.0,-1.0,39.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜桃,2016,-1.0,-1.0,-1.0,65.0,88.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
水蜜桃,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.57,89.57,92.17,-1.0,-1.0,-1.0,-1.0
牛心柿,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,26.67,25.25,-1.0
甜柿,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,88.76,72.56,63.64
紅柿,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.15,24.45,22.82,-1.0,-1.0
青梅,2016,-1.0,-1.0,-1.0,58.84,54.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青梅,2016,-1.0,-1.0,-1.0,20.42,20.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
橫山梨,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
新世紀梨,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.0,67.67,65.0,-1.0,-1.0
豐水梨,2016,-1.0,-1.0,-1.0,-1.0,-1.0,72.83,83.42,83.42,-1.0,-1.0,-1.0,-1.0,-1.0
幸水梨,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
新興梨,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.48,66.48,70.49,70.36,-1.0,-1.0,-1.0
五爪蘋果,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
金冠蘋果,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
富士蘋果,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
巨峰葡萄,2016,70.75,-1.0,92.67,90.0,96.67,81.89,70.92,70.92,78.75,87.33,69.5,65.02,67.33
落花生,2016,71.25,67.83,67.5,69.84,69.47,61.81,63.61,63.61,66.88,61.15,63.88,75.37,72.67
花生仁,2016,119.26,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,118.33,114.62
紅豆,2016,76.34,78.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,96.66
綠豆,2016,80.17,80.5,80.17,80.67,91.75,95.08,80.17,80.17,80.33,80.17,80.17,80.33,-1.0
花豆,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甘藷,2016,27.08,22.65,20.93,17.45,16.95,14.76,15.19,15.19,19.25,15.54,15.9,16.85,14.43
烏龍茶菁,2016,-1.0,-1.0,195.0,250.21,258.02,202.78,133.0,133.0,152.33,158.2,199.7,276.28,-1.0
烏龍茶菁,2016,-1.0,-1.0,-1.0,89.17,86.83,59.17,44.4,44.4,21.6,21.6,58.3,59.87,-1.0
金萱茶菁,2016,-1.0,-1.0,132.56,148.19,146.53,116.22,75.0,75.0,75.0,92.22,107.08,150.42,-1.0
金萱茶菁,2016,-1.0,-1.0,-1.0,51.44,48.37,44.11,35.51,35.51,22.8,22.8,43.53,44.28,-1.0
蓮子,2016,-1.0,-1.0,-1.0,-1.0,-1.0,583.0,563.67,563.67,570.67,570.0,551.67,-1.0,-1.0
荖花,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蜂蜜,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅甘蔗,2016,10.91,10.69,11.75,12.11,10.78,10.22,9.88,9.88,10.9,10.26,11.75,11.64,11.57
芝麻,2016,233.04,235.5,250.0,250.0,227.02,228.87,250.0,250.0,250.0,250.0,250.0,250.0,244.13
紅茶,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
綠茶,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
文心蘭,2016,4.64,7.09,8.56,9.9,10.49,5.76,6.13,6.13,6.71,3.98,3.73,7.8,6.0
菊花,2016,4.57,10.46,8.18,9.99,7.55,4.51,5.67,5.67,8.17,5.19,8.21,10.53,7.43
菊,2016,3.38,7.68,5.88,7.03,7.67,4.17,3.13,3.13,5.17,3.66,5.14,7.9,4.94
玫瑰,2016,5.43,6.64,9.11,4.2,3.66,3.92,3.33,3.33,4.44,4.36,6.19,5.64,4.47
火鶴,2016,11.75,14.0,14.43,12.87,8.83,8.0,10.24,10.24,10.81,9.29,11.03,11.39,10.2
非洲菊,2016,2.72,6.45,3.13,2.98,2.48,3.11,4.08,4.08,4.35,5.17,6.62,5.86,4.04
滿天星,2016,63.68,73.5,70.67,70.33,77.33,52.5,45.67,45.67,70.33,81.5,137.17,82.0,63.67
卡斯比亞,2016,45.0,106.0,77.33,75.17,57.33,41.33,40.0,40.0,61.33,54.33,94.0,86.67,90.67
香石竹,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香石竹,2016,3.81,8.25,6.0,6.39,3.79,2.03,2.2,2.2,3.67,2.94,3.8,4.75,3.25
天堂鳥,2016,13.67,23.0,12.67,9.83,11.33,10.67,14.75,14.75,8.0,7.33,17.67,14.0,9.5
夜來香,2016,2.83,7.0,5.83,6.5,3.83,2.57,2.83,2.83,3.98,6.03,4.67,4.4,3.83
唐菖蒲,2016,2.8,7.53,5.81,8.84,3.75,3.82,4.63,4.63,5.54,6.77,6.04,5.47,4.38
葵百合,2016,-1.0,-1.0,-1.0,-1.0,-1.0,14.97,15.93,15.93,28.46,30.43,20.8,24.57,-1.0
姬百合,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香水百合,2016,13.49,36.0,30.97,30.44,24.67,20.3,18.26,18.26,31.53,34.0,23.92,25.44,20.43
香水百合,2016,15.17,39.5,31.17,30.67,22.33,19.0,15.67,15.67,26.67,30.0,21.53,24.57,23.33
大理花,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
聖誕紅,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,78.33,75.0
聖誕紅,2015,11.84,6.65,5.96,9.34,10.68,13.24,14.41,14.41,15.97,20.33,13.58,9.72,6.82
蘿蔔,2015,11.11,9.06,8.59,10.13,12.03,13.13,13.5,13.5,15.57,20.17,24.0,24.83,23.33
胡蘿蔔,2015,-1.0,-1.0,12.7,16.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
牛蒡,2015,-1.0,-1.0,-1.0,-1.0,72.67,59.17,52.5,52.5,53.33,59.5,58.67,-1.0,-1.0
生薑,2015,54.73,58.62,50.22,48.33,48.07,65.0,70.0,70.0,80.0,91.67,71.67,73.33,51.67
生薑,2015,38.09,42.03,43.33,45.0,45.0,40.0,36.0,36.0,38.89,34.6,41.32,47.33,54.47
芋頭,2015,-1.0,-1.0,-1.0,113.99,108.64,85.96,84.75,84.75,68.15,87.3,78.56,-1.0,-1.0
綠竹筍,2015,-1.0,-1.0,-1.0,29.33,22.33,21.67,21.33,21.33,30.67,38.33,31.67,-1.0,-1.0
烏殼綠竹筍,2015,53.0,57.5,58.33,44.18,38.0,31.22,27.54,27.54,33.75,43.5,38.83,32.83,35.67
麻竹筍,2015,-1.0,-1.0,-1.0,27.64,26.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
桂竹筍,2015,-1.0,-1.0,-1.0,-1.0,27.0,25.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
轎篙筍,2015,-1.0,-1.0,-1.0,-1.0,73.83,72.83,77.67,77.67,77.83,92.5,87.5,-1.0,-1.0
白蘆筍,2015,200.0,-1.0,105.83,100.83,77.0,94.0,97.58,97.58,102.92,111.11,105.0,-1.0,-1.0
綠蘆筍,2015,-1.0,85.0,63.33,60.0,45.33,63.33,76.67,76.67,65.0,66.67,75.0,65.0,-1.0
茭白筍,2015,9.89,5.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
大芥菜,2015,24.47,20.41,19.72,17.83,17.43,17.97,18.5,18.5,19.9,22.0,23.83,24.5,21.35
馬鈴薯,2015,29.14,23.14,21.33,21.32,21.97,42.2,55.22,55.22,93.97,74.55,77.95,57.85,68.62
青蔥,2015,13.67,11.75,10.08,10.99,15.4,16.87,19.53,19.53,23.6,-1.0,-1.0,-1.0,19.33
洋蔥,2015,46.91,34.34,34.28,32.43,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.0
青蒜,2015,-1.0,72.0,56.75,49.56,48.45,53.21,58.09,58.09,63.33,65.68,67.34,71.03,71.79
蒜頭,2015,35.44,33.84,24.33,23.0,20.0,29.0,27.11,27.11,32.45,66.44,60.33,40.78,31.89
韭菜,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
韭黃,2015,42.28,25.0,22.03,23.16,17.59,25.73,19.14,19.14,34.85,45.05,36.73,27.24,33.11
蕹菜,2015,29.5,28.75,30.05,35.89,21.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
芹菜,2015,12.7,6.02,5.0,12.36,14.25,15.11,18.78,18.78,27.41,37.76,37.03,22.08,7.55
甘藍,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甘藍芽,2015,21.2,15.59,14.61,17.19,15.17,32.58,19.42,19.42,48.5,51.67,34.33,23.77,16.83
小白菜,2015,15.41,8.84,14.44,15.17,10.5,27.67,13.5,13.5,40.67,50.33,31.33,19.42,14.0
青江白菜,2015,9.91,5.4,6.8,14.3,9.24,20.24,13.04,13.04,20.35,25.51,19.52,12.57,10.98
結球白菜,2015,22.46,11.7,13.93,27.62,-1.0,33.21,44.96,44.96,77.98,71.17,47.58,38.86,22.07
菠菜,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
芥藍,2015,31.0,-1.0,27.0,28.14,16.08,27.79,21.57,21.57,30.09,50.73,44.04,33.58,38.61
莧菜,2015,24.14,9.83,12.22,22.89,10.45,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
本島萵苣,2015,20.92,7.5,8.67,15.44,9.11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
萵苣,2015,19.0,13.38,17.44,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.5,27.17,33.61
茼萵,2015,19.18,13.57,14.44,22.89,18.89,42.11,44.0,44.0,36.11,59.0,54.91,39.11,26.05
花椰菜,2015,28.39,16.95,14.62,23.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青花苔,2015,735.0,740.5,738.83,738.0,605.55,457.78,485.5,485.5,517.66,564.33,564.33,571.0,571.0
金針菜,2015,27.95,22.73,13.8,16.32,15.89,18.83,14.23,14.23,29.56,37.3,30.85,17.86,17.07
胡瓜,2015,33.34,33.75,27.17,29.5,21.92,30.79,24.63,24.63,36.61,53.5,44.08,32.39,28.71
花胡瓜,2015,10.33,9.0,13.63,12.28,9.63,8.33,13.33,13.33,13.67,20.7,18.87,21.32,12.67
冬瓜,2015,56.07,64.96,46.86,32.21,20.52,42.06,24.62,24.62,49.96,73.14,60.71,38.56,29.13
苦瓜,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
絲瓜,2015,27.43,19.89,22.03,20.74,15.81,25.92,19.99,19.99,33.74,37.42,34.4,25.41,24.3
絲瓜,2015,18.8,17.9,14.0,12.87,8.73,-1.0,-1.0,-1.0,-1.0,-1.0,36.33,16.33,14.3
扁蒲,2015,26.2,21.75,18.07,27.33,22.52,41.61,23.34,23.34,40.0,54.67,51.48,36.64,26.33
茄子,2015,21.75,19.1,12.97,14.59,27.67,48.33,41.96,41.96,36.37,52.95,63.17,47.06,30.13
番茄,2015,38.22,33.34,29.78,27.17,33.5,56.67,65.0,65.0,80.0,84.67,60.0,96.22,82.89
小蕃茄,2015,43.61,30.71,20.01,28.73,23.38,52.76,33.5,33.5,39.52,68.98,74.3,54.85,31.02
甜椒,2015,-1.0,-1.0,-1.0,14.73,10.45,12.38,16.67,16.67,-1.0,-1.0,-1.0,-1.0,-1.0
西瓜,2015,-1.0,-1.0,15.25,9.96,10.33,14.08,12.19,12.19,9.16,18.62,19.0,-1.0,-1.0
西瓜,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
西瓜,2015,31.17,41.63,42.16,43.18,38.04,32.04,32.33,32.33,29.78,39.11,35.42,37.67,28.33
洋香瓜,2015,-1.0,-1.0,52.5,45.72,33.91,35.81,38.28,38.28,35.51,35.58,41.24,38.5,-1.0
香瓜,2015,73.53,76.59,55.56,69.25,60.08,63.14,71.41,71.41,79.58,113.7,102.27,60.6,50.72
敏豆,2015,57.78,53.5,40.67,38.75,29.0,35.58,32.58,32.58,43.47,64.73,59.92,42.08,35.11
豇豆,2015,59.32,53.58,38.76,58.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.0,65.66
豌豆,2015,48.5,42.75,31.33,49.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜豌豆,2015,34.87,14.7,14.7,14.7,13.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
毛豆,2015,43.25,52.23,50.17,42.93,34.09,45.45,60.81,60.81,77.13,152.06,79.86,78.62,64.34
辣椒,2015,18.86,19.36,13.68,14.55,12.57,14.96,14.09,14.09,23.12,32.17,27.68,23.18,24.07
甜玉米,2015,70.83,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.67,48.33,46.67,100.0,83.0
蓮藕,2015,237.78,253.34,146.89,114.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,155.0
草莓,2015,86.22,77.5,82.45,128.33,102.5,120.0,93.33,93.33,100.0,113.33,140.0,111.89,96.11
洋菇,2015,1495.83,1555.0,1420.83,1367.5,1390.0,1379.17,1340.83,1340.83,1272.5,1258.33,1236.67,1210.83,1202.5
香菇,2015,104.55,106.84,99.56,94.33,94.11,95.33,93.78,93.78,90.67,91.0,90.89,89.22,86.89
香菇,2015,65.17,61.0,55.83,50.67,47.33,40.0,39.67,39.67,58.0,67.33,56.0,56.0,53.52
木耳,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鮑魚菇,2015,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,83.33,83.33,86.33,90.0,91.67,92.22,86.45
杏鮑菇,2015,15.33,24.0,25.33,19.5,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,21.56,22.28,21.55
葡萄柚,2015,-1.0,-1.0,77.5,57.54,58.5,36.96,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
芒果,2015,-1.0,-1.0,-1.0,86.83,79.72,45.67,29.64,29.64,46.11,-1.0,-1.0,-1.0,-1.0
芒果,2015,-1.0,-1.0,-1.0,-1.0,50.0,28.9,17.87,17.87,29.36,-1.0,-1.0,-1.0,-1.0
芒果,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2015,26.13,25.54,12.09,11.91,17.52,28.18,18.31,18.31,37.32,43.28,44.37,40.52,48.34
番石榴,2015,56.13,52.83,50.3,42.99,45.33,35.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.14,67.5
蓮霧,2015,-1.0,-1.0,170.0,142.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
枇杷,2015,-1.0,-1.0,-1.0,-1.0,-1.0,25.79,19.8,19.8,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2015,-1.0,-1.0,-1.0,-1.0,77.69,55.21,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.08,41.08,41.52,59.59,-1.0,-1.0,-1.0
龍眼,2015,57.07,44.52,38.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,62.98
棗子,2015,59.56,65.67,64.72,-1.0,-1.0,-1.0,61.0,61.0,55.33,58.54,64.83,62.76,62.37
番荔枝,2015,26.0,17.0,18.72,17.83,-1.0,-1.0,-1.0,-1.0,35.0,37.5,41.17,38.33,31.67
楊桃,2015,-1.0,-1.0,-1.0,-1.0,-1.0,69.0,48.11,48.11,50.33,73.81,82.33,97.0,93.0
酪梨,2015,5.99,5.54,5.89,5.34,6.23,6.25,6.58,6.58,7.06,6.58,6.5,6.38,5.75
椰子,2015,1.08,1.92,2.33,2.6,3.96,3.75,0.93,0.93,1.35,1.16,0.75,0.6,0.63
檳榔,2015,28.11,19.03,19.51,24.37,18.34,15.69,17.18,17.18,32.35,42.24,50.74,63.99,47.6
木瓜,2015,-1.0,-1.0,-1.0,-1.0,-1.0,66.33,55.83,55.83,49.17,53.83,48.6,48.0,45.33
百香果,2015,29.44,30.09,25.44,15.32,16.06,15.59,17.81,17.81,29.53,44.68,49.33,48.43,45.89
香蕉,2015,29.44,30.09,25.44,15.32,16.06,15.59,17.81,17.81,29.53,44.68,49.33,48.43,45.89
鳳梨,2015,20.75,26.42,22.02,23.24,24.86,17.21,17.37,17.37,21.65,25.89,27.33,25.0,27.17
鳳梨,2015,-1.0,-1.0,-1.0,-1.0,91.67,62.92,28.92,28.92,47.92,54.16,61.42,70.04,-1.0
紅龍果,2015,36.56,40.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.85,32.33,32.4
椪柑,2015,43.61,45.56,38.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
桶柑,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.75,48.21,-1.0,-1.0,-1.0
文旦,2015,18.48,20.34,20.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.13,18.78,19.34
柳橙,2015,43.47,47.59,41.38,40.31,35.95,40.24,24.87,24.87,12.73,15.17,28.0,47.35,35.17
檸檬,2015,30.58,30.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
海梨柑,2015,48.61,59.66,57.0,62.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茂谷柑,2015,40.33,41.0,42.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.85
金柑,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
李,2015,-1.0,-1.0,-1.0,-1.0,50.0,47.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
李,2015,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鶯歌桃,2015,-1.0,-1.0,-1.0,42.67,43.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜桃,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.19,68.19,74.78,-1.0,-1.0,-1.0,-1.0
水蜜桃,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.75,26.65,30.0,-1.0
牛心柿,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.74,79.03,77.5
甜柿,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.13,32.38,34.28,-1.0,-1.0
紅柿,2015,-1.0,-1.0,30.0,40.46,36.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青梅,2015,-1.0,-1.0,-1.0,15.52,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青梅,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,50.0,42.5,22.5,-1.0,-1.0,-1.0
橫山梨,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,46.0,63.33,-1.0,-1.0,-1.0
新世紀梨,2015,-1.0,-1.0,-1.0,-1.0,-1.0,56.84,79.9,79.9,-1.0,-1.0,-1.0,-1.0,-1.0
豐水梨,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
幸水梨,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.38,39.38,41.43,48.67,-1.0,-1.0,-1.0
新興梨,2015,61.11,52.5,51.67,55.0,71.67,65.55,51.62,51.62,64.92,85.17,89.67,72.06,69.37
巨峰葡萄,2015,54.73,54.74,54.85,54.69,53.67,50.5,50.88,50.88,51.7,52.5,54.7,67.88,72.0
落花生,2015,64.53,60.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.25
紅豆,2015,80.17,80.25,80.33,80.17,88.42,90.17,80.33,80.33,80.5,80.33,80.33,80.5,-1.0
綠豆,2015,12.46,12.09,8.74,9.34,8.3,10.41,11.2,11.2,16.85,22.05,25.42,30.09,29.42
甘藷,2015,-1.0,-1.0,150.0,256.26,232.61,163.58,130.33,130.33,147.0,144.86,233.7,280.21,-1.0
烏龍茶菁,2015,-1.0,-1.0,-1.0,82.72,88.88,80.55,69.43,69.43,59.43,61.93,65.33,66.33,-1.0
烏龍茶菁,2015,-1.0,-1.0,125.33,152.78,144.12,106.33,71.33,71.33,75.0,95.0,121.84,149.98,-1.0
金萱茶菁,2015,-1.0,-1.0,40.0,54.11,47.74,42.99,42.43,42.43,42.73,44.62,46.89,56.94,-1.0
金萱茶菁,2015,-1.0,-1.0,-1.0,-1.0,580.0,536.67,566.17,566.17,566.75,564.0,540.0,-1.0,-1.0
蓮子,2015,14.0,13.82,11.86,12.19,10.1,10.27,10.42,10.42,10.23,11.42,12.32,11.95,11.15
紅甘蔗,2015,219.71,225.0,220.0,220.0,209.61,210.53,210.0,210.0,210.0,210.0,210.0,210.0,227.02
芝麻,2015,8.24,8.19,7.64,8.0,7.04,6.45,7.75,7.75,7.74,4.68,4.78,4.3,4.25
文心蘭,2015,4.45,5.84,5.44,5.84,6.83,8.0,10.33,10.33,9.67,9.23,8.17,8.47,8.89
菊花,2015,5.46,8.78,5.42,2.9,4.94,5.29,4.59,4.59,4.14,3.5,6.18,3.64,4.77
玫瑰,2015,13.26,13.85,12.07,12.48,9.35,9.47,10.56,10.56,12.28,10.65,11.2,10.22,10.72
火鶴,2015,3.28,3.75,2.03,2.5,2.52,4.78,3.78,3.78,5.54,6.91,5.56,3.15,3.85
非洲菊,2015,89.83,79.05,37.38,43.57,69.87,72.02,70.45,70.45,81.9,108.0,135.88,95.92,61.5
滿天星,2015,73.33,105.0,61.67,28.67,43.33,75.0,41.67,41.67,58.0,80.0,81.67,76.67,45.0
卡斯比亞,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香石竹,2015,3.58,4.5,2.76,2.79,4.11,3.67,4.33,4.33,3.42,4.58,5.42,5.28,4.12
香石竹,2015,12.67,13.5,6.0,5.67,9.33,13.0,7.67,7.67,9.33,8.0,12.33,9.0,11.33
天堂鳥,2015,6.0,7.25,5.33,6.67,4.83,4.0,4.5,4.5,5.17,5.33,6.0,4.33,3.5
夜來香,2015,5.14,4.93,3.73,4.21,5.64,6.34,5.48,5.48,7.04,6.92,8.2,5.97,4.02
唐菖蒲,2015,-1.0,-1.0,-1.0,-1.0,-1.0,26.7,23.73,23.73,31.2,31.91,27.98,19.0,15.37
葵百合,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
姬百合,2015,26.32,21.12,21.72,22.19,28.67,25.21,25.19,25.19,33.44,32.13,28.11,22.42,17.69
香水百合,2015,30.47,31.95,23.87,23.57,22.33,22.17,22.83,22.83,24.0,23.67,24.0,21.67,17.0
香水百合,2015,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.83,61.67
